epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,310.908,1.1747,0.68721,1.24167,0.84864,0.9112,0.91466,0.58518,1.28567,0.63798,1.26545,0.000892,0.000892,0.000892
48,316.892,1.18891,0.66401,1.2521,0.86245,0.93342,0.92666,0.58616,1.28401,0.62537,1.26115,0.000694,0.000694,0.000694
49,323.028,1.16175,0.64657,1.2176,0.87905,0.92744,0.92507,0.5896,1.28658,0.61787,1.25579,0.000496,0.000496,0.000496
50,329.139,1.12217,0.62221,1.22334,0.89286,0.92844,0.92797,0.59183,1.28018,0.61335,1.25303,0.000298,0.000298,0.000298
1,12.4572,2.13053,3.94504,1.63718,0.07673,0.24215,0.01246,0.00463,2.06366,inf,2.28688,0.0928,0.0008,0.0008
2,19.4665,2.23508,3.29344,1.85612,0,0,0,0,nan,nan,nan,0.084679,0.00167896,0.00167896
3,25.4043,1.97825,2.21253,1.70841,0,0,0,0,nan,nan,nan,0.0765357,0.00253565,0.00253565
4,31.6052,1.92169,1.89182,1.69107,0,0,0,0,nan,nan,nan,0.0683701,0.00337006,0.00337006
5,37.7247,1.78274,1.58511,1.58721,0,0,0,0,nan,nan,nan,0.0601822,0.0041822,0.0041822
6,44.0832,1.77522,1.59225,1.59996,0,0,0,0,nan,nan,nan,0.0519721,0.00497206,0.00497206
7,50.1352,1.73707,1.45392,1.568,0,0,0,0,nan,nan,nan,0.0437397,0.00573965,0.00573965
8,56.3406,1.74992,1.40789,1.55435,0,0,0,0,nan,nan,nan,0.035485,0.00648496,0.00648496
9,62.5219,1.70245,1.30689,1.5309,0,0,0,0,nan,nan,nan,0.027208,0.007208,0.007208
10,68.6137,1.66271,1.2253,1.44078,0,0,0,0,nan,nan,nan,0.0189088,0.00790876,0.00790876
11,74.7421,1.64203,1.16239,1.44923,0,0,0,0,nan,nan,nan,0.0105873,0.00858725,0.00858725
12,80.5958,1.6538,1.22196,1.48561,3e-05,0.02222,4e-05,0,3.95104,9.04273,16.0936,0.00863875,0.00863875,0.00863875
13,86.7484,1.65509,1.09297,1.40643,0,0,0,0,3.87835,6.99501,4.30344,0.008515,0.008515,0.008515
14,92.5387,1.6202,1.10138,1.45972,0.44849,0.14722,0.10772,0.04825,2.83105,4.6838,2.38015,0.00839125,0.00839125,0.00839125
15,98.8269,1.57562,1.07611,1.37146,0.56055,0.17778,0.18914,0.09609,2.41455,5.45175,2.14192,0.0082675,0.0082675,0.0082675
16,104.912,1.50132,1.29001,1.43363,0.80423,0.14397,0.17634,0.08653,2.82025,4.59062,2.25812,0.00814375,0.00814375,0.00814375
17,110.889,1.54383,1.04667,1.39475,0.49731,0.35905,0.3648,0.17276,2.16109,3.53375,1.90346,0.00802,0.00802,0.00802
18,122.243,1.50707,0.99256,1.39642,0.46283,0.2946,0.28981,0.14811,2.03789,3.40185,1.79466,0.00789625,0.00789625,0.00789625
19,128.054,1.53298,1.01508,1.41528,0.58253,0.28515,0.28084,0.15095,1.77637,2.995,1.6186,0.0077725,0.0077725,0.0077725
